id,name,category
116,Apologist,Philosophy
303,Astronomy-Astrology,Philosophy
120,Biographer,Philosophy
304,Bio-Medical,Philosophy
118,Comic Poet,Philosophy
305,Engineering,Philosophy
310,Ethnographer,Philosophy
308,Geographer,Philosophy
114,Grammarian,Philosophy
108,Historian,Philosophy
301,Mathematics,Philosophy
306,Metalworker,Philosophy
102,Philosopher,Philosophy
307,Physician,Philosophy
302,Physics,Philosophy
119,Rhetor,Philosophy
111,Scholar,Philosophy
312,Scientist,Philosophy
109,Sophist,Philosophy
103,Stage Poet,Philosophy
703,Theologian,Philosophy
105,Tragic Poet,Philosophy
207,Actor,Culture
421,Aedile,Culture
116,Apologist,Culture
205,Architect,Culture
506,Athlete,Culture
120,Biographer,Culture
212,Builder,Culture
404,Censor,Culture
311,Chresmologue,Culture
208,Comedian,Culture
118,Comic Poet,Culture
211,Director,Culture
206,Dramatist,Culture
121,Epic Poet,Culture
117,Erotic Poet,Culture
310,Ethnographer,Culture
501,Explorer,Culture
114,Grammarian,Culture
108,Historian,Culture
409,Lawyer-Advocate,Culture
122,Librarian,Culture
104,Literary Scholar,Culture
101,Lyric Poet,Culture
210,Musician,Culture
115,Mythographer,Culture
106,Novelist,Culture
411,Orator,Culture
202,Painter,Culture
204,Performance Artist,Culture
113,Poet,Culture
203,Potter,Culture
209,Prophet,Culture
504,Revolutionary-Rebel-Col,Culture
119,Rhetor,Culture
111,Scholar,Culture
201,Sculptor,Culture
109,Sophist,Culture
103,Stage Poet,Culture
110,Teacher,Culture
105,Tragic Poet,Culture
112,Translator,Culture
107,Writer,Culture
505,Banker,Economy
304,Bio-Medical,Economy
212,Builder,Economy
305,Engineering,Economy
501,Explorer,Economy
502,Merchant,Economy
306,Metalworker,Economy
203,Potter,Economy
201,Sculptor,Economy
503,Slave-Freedman,Economy
419,Admiral,Politics
421,Aedile,Politics
426,Ambassador,Politics
414,Archon,Politics
415,Aristocrat,Politics
404,Censor,Politics
417,Commander,Politics
407,Consul,Politics
601,Emperor,Politics
412,General,Politics
406,Governor,Politics
603,King,Politics
423,Knight-Soldier,Politics
409,Lawyer-Advocate,Politics
413,Legate,Politics
422,Minister-Official-Administrator,Politics
604,Nobility-Aristocrat,Politics
411,Orator,Politics
405,Patrician,Politics
427,Politician,Politics
403,Pontifex,Politics
420,Praetor,Politics
408,Prefect,Politics
410,Proconsul,Politics
424,Procurator,Politics
418,Quaestor,Politics
504,Revolutionary-Rebel-Col,Politics
602,Royal,Politics
607,Ruler,Politics
402,Senator,Politics
425,Tribune,Politics
605,Tyrant-Dictator,Politics
401,Viceroy,Politics
606,Wife,Politics
419,Admiral,Military
414,Archon,Military
309,Augur-Seer,Military
417,Commander,Military
407,Consul,Military
412,General,Military
406,Governor,Military
423,Knight-Soldier,Military
413,Legate,Military
410,Proconsul,Military
401,Viceroy,Military
309,Augur-Seer,Religion
416,Bishop,Religion
701,Bishop,Religion
311,Chresmologue,Religion
702,Christian Priest,Religion
118,Comic Poet,Religion
706,Egyptian Priest,Religion
601,Emperor,Religion
704,Greek Priest,Religion
705,Jewish Priest,Religion
307,Physician,Religion
403,Pontifex,Religion
209,Prophet,Religion
703,Theologian,Religion
105,Tragic Poet,Religion
