unique_id,Primary_Name,Secondary_Name,Fathers_me,Birthplace,Birthplace_Code,Certainty_of_Birthplace,Work/Living_Places,Work/Living_Places_Code,Endeavor_codes,Endeavors,Era,Century,Fame,philosophy,culture,economy,politics,military,religion
textbox,textbox,textbox,textbox,checkbox,checkbox,parallel,checkbox,checkbox,checkbox,checkbox,parallel,parallel,parallel,binary,binary,binary,binary,binary,binary
,,,,"Umbria,Eretria,Alexandria,Italica,Argos,Caria,Aphrodisias,Tyre,Cappadocia,Praeneste,Rome,Lanuvium,eastern empire,Volsinii,Thaenae,Verona,Stymphalus,Knosos,Thoricus,Eleusis,Durostorum,Picenum,Narbonensis,Ephesus,Cnidus,Samos,Myrina,Sparta/Lakedaimon,Termae,Cyzicus,Paros,Kroton,Laconia,Macedonia,Byblos,Pherai,Molossia,Miletus,Thurii,Cremona,Lydia,Thrace,Etruria,Athamanes,Clazomenae,Rhodos,Messenia,Lampsacus,Thasos,Constantinople,Uzappa,Cordoba,Ucubi,Cyme,Sphettus,Kolophon,Cyrene,Tarsus,sinope,Chios,Gela,Syria,Syrakousai,Tarentum,Methymna, Lesbos,Gaul,Samothrace,Tegea,Phlius,Hadrianotherae,Cumae,Pergamum,Korinthos,Stagira,Libya,Nicomedia,Nemausus,Padua,Parthia,Persia,Magnesia,Myrleia,Tragilus,India,Italy,Naucratis,Thagaste,Egypt,Pitane,Faventia,Tanagra,Sicily,Naupaktos,Nicaea,Utica,Insubria,Megalopolis,Smyrna,Mytilene,Lindos,Oreus,Iasus,Soloi,Thessaly,Tusculum,Thebes,Mallus,Phaselis,Plataea,Sigeum,Samnium,Pharos,Skepsis,Melos,Zankle/Messana,Milan,Megara,Peparethos,Oenoanda,Philadelphia,Mantinea,Sidon,Pelusium,Stratonicea,Philus,Messapia,Provence,Trachis,Olynthus,Nisibis,Sicyon,Teos,Sardis,Palestine,Salamis,Spain,Tridentum,Romulianum,Venusia,Sutrium,Sirmium,Priene,Treviso,Reate,Vercellae,Teate Marrucinorum,Saguntum,Treveri,Tauresium,Troas,Syme (Simi),Xanthus,","2335,370,2014,2163,115,2076,1005,2333,2072,2265,2271,2173,2122,2344,2312,2341,296,967,361,362,2121,2259,2217,844,2096,864,502,345,2311,2116,509,56,2171,2194,2049,414,2211,854,0,2319,2105,2192,2318,2129,2041,2094,1000,318,2172,526,2101,2337,2103,2334,2110,2044,848,2114,2308,729,840,17,2304,47,2307,2178,2141,460,297,2253,2150,2107,828,227,2295,2180,2225,2222,2238,2245,2250,820,752,2324,2157,2164,2220,2313,2123,830,2132,220,2287,165,2224,2336,2159,282,867,798,997,372,2153,1021,2316,2331,2314,2197,942,2260,791,2277,84,792,505,51,2209,225,511,2234,2251,281,2289,2247,2296,2252,2208,2266,195,588,2226,2288,868,2279,2239,363,2293,2328,2272,2339,2303,2290,861,2327,2268,2340,2310,2276,2326,2309,2329,522,943",,"Thoricus,Anatolia,Sardis,Etruria,Bithynia,Pontus,Aphrodisias,Tyras,Pergamum,Abydos,Sparta/Lakedaimon,Syrakousai,Lampsakos,Rhegion,Miletus,Ephesus,Massalia,Sellasia,Kolophon,Samos,Rhodos,Gela,Karystos,Perge,Alabanda,Pella,Chios,Taras,Korinthos,Smyrna,Myndos,Assos,Mytilene,Stagira,Naukratis,Herakleia,Pitane,Aigai (Achaia),Andros,Tanagra,Naupaktos,Seriphos,Megalopolis,Olynthus,Lindos,Delos,Sikyon,Korkyra,Pydna,Argos,Phaselis,Pyrrha,Delphoi,Messenia,Arkades,Philippoi,Skepsis,Abdera,Megara,Chalkis,Magnesia,Peparethos,sinope,Agyrion,Mantinea,Pharsalos,Sybaris,Lipara,Mylai,Trachis,Edessa,Ambrakia,Salamis,Kyrene,Paros,Morgantina,Perinthus,Birytis,Leontinoi,Mylasa,Thasos,Kyme,Atarneus,Halikarnassos,Metapontum,Kos,Mende,Elis,Kroton,Teos,Priene,Apollonia,Elea,Amphipolis,Kardia,Pisa,Pherai,Mallos,Neapolis,Paphos,Thebai,Xanthus,Byzantion,Eleutherna,Astypalaia,Epidaurum,Plataia,Tegea,Eresus,Amisus,Ledon,Lokroi,Eleusis,Himera,Kythera,Eretria,Tralles,Kamiros,Aitna,Chaironeia,Kallatis,Stymphalus,Maroneia,Olbia/Borysthenes,Umbria,Alexandria,Italica,Caria,Tyre,Cappadocia,Praeneste,Rome,Lanuvium,eastern empire,Volsinii,Thaenae,Verona,Knosos,Durostorum,Picenum,Narbonensis,Cnidus,Myrina,Termae,Cyzicus,Laconia,Macedonia,Byblos,Molossia,Thurii,Cremona,Lydia,Thrace,Athamanes,Clazomenae,Lampsacus,Constantinople,Uzappa,Cordoba,Ucubi,Cyme,Sphettus,Cyrene,Tarsus,Syria,Tarentum,Methymna, Lesbos,Gaul,Samothrace,Phlius,Hadrianotherae,Cumae,Libya,Nicomedia,Nemausus,Padua,Parthia,Persia,Myrleia,Tragilus,India,Italy,Naucratis,Thagaste,Egypt,Faventia,Sicily,Nicaea,Utica,Insubria,Oreus,Iasus,Soloi,Thessaly,Tusculum,Thebes,Mallus,Plataea,Sigeum,Samnium,Pharos,Melos,Zankle/Messana,Milan,Oenoanda,Philadelphia,Sidon,Pelusium,Stratonicea,Philus,Messapia,Provence,Nisibis,Sicyon,Palestine,Spain,Tridentum,Romulianum,Venusia,Sutrium,Sirmium,Treviso,Reate,Vercellae,Teate Marrucinorum,Saguntum,Treveri,Tauresium,Troas,Syme (Simi)","361,2019,2279,2129,2057,2264,1005,694,828,765,345,47,748,68,854,844,3,343,848,864,1000,17,373,1003,870,543,840,71,227,867,914,769,798,2295,1023,20,830,229,475,220,165,517,282,588,997,478,228,123,544,115,942,799,177,318,948,637,792,640,225,145,820,511,729,7,281,413,70,34,38,195,535,113,363,1028,509,37,678,773,33,913,526,57,803,886,61,497,584,251,56,868,861,13,95,553,665,262,414,1009,63,1019,221,943,674,957,498,329,216,297,796,9,184,59,362,24,336,370,941,996,8,201,686,296,646,690,2335,2014,2163,2076,2333,2072,2265,2271,2173,2122,2344,2312,2341,967,2121,2259,2217,2096,502,2311,2116,2171,2194,2049,2211,2319,2105,2192,2318,2041,2094,2172,2101,2337,2103,2334,2110,2044,2114,2308,2304,2307,2178,2141,460,2253,2150,2107,2180,2225,2222,2238,2245,2250,752,2324,2157,2164,2220,2313,2123,2132,2287,2224,2336,2159,372,2153,1021,2316,2331,2314,2197,2260,791,2277,84,505,51,2209,2234,2251,2289,2247,2296,2252,2208,2266,2226,2288,2239,2293,2328,2272,2339,2303,2290,2327,2268,2340,2310,2276,2326,2309,2329,522","113,111,105,401,106,107,402,108,408,425,420,407,504,403,104,603,102,110,109,422,114,0,406,304,409,601,410,404,426,308,417,424,309,412,418,421,419,411,206,207,307,604,118,413,201,202,605,701,427,101,119,423,602,310,703,210,607,208,502,501,503,606,117,121,397,306,120,303,405,115,312,505,205,305,301,700,116,212,103,122,414,302,707,112,702,311,204,704,506,706,705,510,209,20,1113,416","Apologist,Astronomy/Astrology,Biographer,Bio-Medical,Comic Poet,Engineering,Ethnographer,Geographer,Grammarian,Historian,Mathematics,Metalworker,Philosopher,Physician,Physics,Rhetor,Scholar,Scientist,Sophist,Stage Poet,Theologian,Tragic Poet,Actor,Aedile,Apologist,Architect,Athlete,Biographer,Builder,Censor,Chresmologue,Comedian,Comic Poet,Director,Dramatist,Epic Poet,Erotic Poet,Ethnographer,Explorer,Grammarian,Historian,Lawyer/Advocate,Librarian,Literary Scholar,Lyric Poet,Musician,Mythographer,Novelist,Orator,Painter,Performance Artist,Poet,Potter,Prophet,Revolutionary/Rebel/Col,Rhetor,Scholar,Sculptor,Sophist,Stage Poet,Teacher,Tragic Poet,Translator,Writer,Banker,Bio-Medical,Builder,Engineering,Explorer,Merchant,Metalworker,Potter,Sculptor,Slave/Freedman,Admiral,Aedile,Ambassador,Archon,Aristocrat,Censor,Commander,Consul,Emperor,General,Governor,King,Knight/Soldier,Lawyer/Advocate,Legate,Minister/Official/Administrator,Nobility/Aristocrat,Orator,Patrician,Politician,Pontifex,Praetor,Prefect,Proconsul,Procurator,Quaestor,Revolutionary/Rebel/Col,Royal,Ruler,Senator,Tribune,Tyrant/Dictator,Viceroy,Wife,Admiral,Archon,Augur/Seer,Commander,Consul,General,Governor,Knight/Soldier,Legate,Proconsul,Viceroy,Augur/Seer,Bishop,Chresmologue,Christian Priest,Comic Poet,Egyptian Priest,Emperor,Greek Priest,Jewish Priest,Physician,Pontifex,Prophet,Theologian,Tragic Poet",,,,,,,,,
Accius_1,Accius,Lucius,,Umbria,2335,1,Rome,0,"113,111",,16,,1.1,1,1,0,0,0,0
Achaeus (two)_2,Achaeus (two),,,Eretria,370,1,Athens,361,"105,",,3,,0.3,1,0,0,0,0,0
Achaeus (three)_3,Achaeus (three),,,,,3,"Anatolia,Sardis","20,192,279","401,",,13,,0.2,0,0,0,1,0,0
Achilles_4,Achilles,Tatius (one),,Alexandria,2014,1,Alexandria,0,"106,",,29,,1,0,1,0,0,0,0
Achilles_5,Achilles, ,,,,3,NA,0,"107,",,0,3,0.1,0,1,0,0,0,0
Acilius_6,Acilius,Gaius,,,,3,Rome,0,"402,108",,16,,0.2,1,0,0,1,0,0
Acilius Attianus_7,Acilius Attianus,Publius,,Italica,2163,3,Rome,0,"408,402",,26,,,0,0,0,1,0,0
Acilius Glabrio (1)_8,Acilius Glabrio (1),Manius,Manius (two),,,1,"Rome,Etruria,Thermopylae,Naupactus","0,2129,0,0","425,420,407,402",,14,,0.1,0,0,0,1,0,0
